('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/cos/COSName.java', 'PDFBOX-907', 'd41cbf92b2b6c994405628920470744bdb8e9661')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.7.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.7.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.6.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('1.5.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFField.java', 'PDFBOX-2419', 'f8831dfe7be348caafb2961e5a2ccdf0b0d0e543')
('2.0.5', 'fontbox/src/main/java/org/apache/fontbox/ttf/KerningSubtable.java', 'PDFBOX-3748', '1e37a1046ce8c3c662db42a69470725ae82914ea')
('2.0.4', 'fontbox/src/main/java/org/apache/fontbox/ttf/KerningSubtable.java', 'PDFBOX-3748', '1e37a1046ce8c3c662db42a69470725ae82914ea')
('1.8.7', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.6', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.5', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.4', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.3', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.2', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.1', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.0', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2417', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.7', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.6', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.5', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.4', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.3', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.2', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.1', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.0', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2418', '0cf0a07b66ce89214f1e4c16440606f5ad660d0f')
('1.8.10', 'pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java', 'PDFBOX-2899', '4b22f709c1cab0b083f97389ee5d3c89622f5a58')
('2.0.5', 'fontbox/src/main/java/org/apache/fontbox/ttf/CmapSubtable.java', 'PDFBOX-3747', 'a6f3f6289d835ee803ba9df6f14c9eefcb14725f')
('2.0.4', 'fontbox/src/main/java/org/apache/fontbox/ttf/CmapSubtable.java', 'PDFBOX-3747', 'a6f3f6289d835ee803ba9df6f14c9eefcb14725f')
('1.8.7', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('1.8.6', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('1.8.5', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('1.8.4', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('1.8.3', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('1.8.2', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('1.8.1', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('1.8.0', 'xmpbox/src/main/java/org/apache/xmpbox/xml/DomXmpParser.java', 'PDFBOX-2416', '645552d2f6c86a3baa146416a6674885b742cfe6')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDFont.java', 'PDFBOX-3745', '310716029f396a0602d0551db4f75a8e37cc69e7')
('1.8.9', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/form/PDGroup.java', 'PDFBOX-2898', '8e1df50f5fd88da7bb1c0a72f91034f6915fc2a0')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/NonSequentialPDFParser.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDDocument.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/cos/COSName.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/PDFParser.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/cos/COSDocument.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDAppearance.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/util/LayerUtility.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDDocument.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/cos/COSName.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/PDFParser.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/cos/COSDocument.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDAppearance.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/util/LayerUtility.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.7.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.7.1', 'pdfbox/src/main/java/org/apache/pdfbox/util/LayerUtility.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.7.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.7.0', 'pdfbox/src/main/java/org/apache/pdfbox/util/LayerUtility.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.6.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.6.0', 'pdfbox/src/main/java/org/apache/pdfbox/util/LayerUtility.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.5.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.5.0', 'pdfbox/src/main/java/org/apache/pdfbox/util/LayerUtility.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.4.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.2.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.2.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.1.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/PDObjectStream.java', 'PDFBOX-1568', '4c5fa2f456eb3ea431e3764a813833eeea16bc32')
('1.3.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdfparser/BaseParser.java', 'PDFBOX-910', '9b25f2f5e955794ae2b51f777c0dd43e487cff0d')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDButton.java', 'PDFBOX-3753', '4bd792d1e536f338c35c56e7f4c93cd3050a31b6')
('1.8.7', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java', 'PDFBOX-2422', '08efd98d756a33f941c78dbff814b4e3bf83d2eb')
('1.8.7', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFontEmbedder.java', 'PDFBOX-2422', '08efd98d756a33f941c78dbff814b4e3bf83d2eb')
('1.8.7', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDFont.java', 'PDFBOX-2422', '08efd98d756a33f941c78dbff814b4e3bf83d2eb')
('1.8.6', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDFont.java', 'PDFBOX-2422', '08efd98d756a33f941c78dbff814b4e3bf83d2eb')
('1.8.7', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDAppearanceString.java', 'PDFBOX-1574', '37d6fe75452a12b60fe8dbd6b5dfc2f0b5a99027')
('2.0.5', 'fontbox/src/main/java/org/apache/fontbox/type1/Token.java', 'PDFBOX-3754', 'fd3db5d5c8d6249d9c26fba9fcfd6f45455be2de')
('2.0.5', 'fontbox/src/main/java/org/apache/fontbox/type1/Type1Lexer.java', 'PDFBOX-3754', 'fd3db5d5c8d6249d9c26fba9fcfd6f45455be2de')
('2.0.5', 'fontbox/src/main/java/org/apache/fontbox/type1/Type1Parser.java', 'PDFBOX-3754', 'fd3db5d5c8d6249d9c26fba9fcfd6f45455be2de')
('2.0.4', 'fontbox/src/main/java/org/apache/fontbox/type1/Token.java', 'PDFBOX-3754', 'fd3db5d5c8d6249d9c26fba9fcfd6f45455be2de')
('2.0.3', 'fontbox/src/main/java/org/apache/fontbox/type1/Token.java', 'PDFBOX-3754', 'fd3db5d5c8d6249d9c26fba9fcfd6f45455be2de')
('2.0.2', 'fontbox/src/main/java/org/apache/fontbox/type1/Token.java', 'PDFBOX-3754', 'fd3db5d5c8d6249d9c26fba9fcfd6f45455be2de')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java', 'PDFBOX-3751', 'e5a373cb269a4d4df7e7fc51afb195dac82c4a14')
('2.0.4', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java', 'PDFBOX-3751', 'e5a373cb269a4d4df7e7fc51afb195dac82c4a14')
('2.0.3', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java', 'PDFBOX-3751', 'e5a373cb269a4d4df7e7fc51afb195dac82c4a14')
('2.0.2', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java', 'PDFBOX-3751', 'e5a373cb269a4d4df7e7fc51afb195dac82c4a14')
('2.0.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java', 'PDFBOX-3751', 'e5a373cb269a4d4df7e7fc51afb195dac82c4a14')
('2.0.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java', 'PDFBOX-3751', 'e5a373cb269a4d4df7e7fc51afb195dac82c4a14')
('2.0.2', 'pdfbox/src/main/java/org/apache/pdfbox/util/DateConverter.java', 'PDFBOX-2420', '58559cb874fb5b6ff74c85b1ec077abec1d89d44')
('1.8.2', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/SecurityHandler.java', 'PDFBOX-1576', 'f6c5ed3e5f039ac63da7bf73df3a6a254f6c6039')
('1.8.1', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/SecurityHandler.java', 'PDFBOX-1576', 'f6c5ed3e5f039ac63da7bf73df3a6a254f6c6039')
('1.8.0', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/SecurityHandler.java', 'PDFBOX-1576', 'f6c5ed3e5f039ac63da7bf73df3a6a254f6c6039')
('2.0.5', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDDefaultAppearanceString.java', 'PDFBOX-3752', '3dd6ea2c20ff9811e902b764ad88bb9d2293ebd0')
('2.0.4', 'pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDDefaultAppearanceString.java', 'PDFBOX-3752', '3dd6ea2c20ff9811e902b764ad88bb9d2293ebd0')
