('4.0.6RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/KurentoHandler.java', 'OPENMEETINGS-1962', 'f2d91360b0dbaf1480126c98893c6fe7a96d1c48')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupVersion.java', 'OPENMEETINGS-1720', '4225fdb5b9cb908bc282acc9b72936e20cbef13e')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '4225fdb5b9cb908bc282acc9b72936e20cbef13e')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/data/file/FileProcessor.java', 'OPENMEETINGS-1720', '4225fdb5b9cb908bc282acc9b72936e20cbef13e')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '4225fdb5b9cb908bc282acc9b72936e20cbef13e')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/data/file/FileProcessor.java', 'OPENMEETINGS-1720', '4225fdb5b9cb908bc282acc9b72936e20cbef13e')
('3.3.0', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/data/file/FileProcessor.java', 'OPENMEETINGS-1720', '4225fdb5b9cb908bc282acc9b72936e20cbef13e')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/RoomConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/ldap/LdapOptions.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/BaseFileItemConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/RecordingStatusConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/OmCalendarConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/RoomTypeConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/UserConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/PollTypeConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/GroupConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/basic/ConfigurationDao.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupExport.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/converter/BaseConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/AppointmentConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/entity/file/BaseFileItem.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/AppointmentReminderTypeConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/converter/SalutationConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/ldap/LdapOptions.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/basic/ConfigurationDao.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupExport.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/converter/BaseConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.0', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/ldap/LdapOptions.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.0', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/converter/BaseConverter.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.0', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.0', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.2.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/ldap/LdapOptions.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.2.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.2.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.2.0RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/ldap/LdapOptions.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.2.0RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.2.0RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.5RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/ldap/LdapOptions.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.5RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.5RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.4RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/ldap/LdapOptions.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.4RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.4RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.3RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.3RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.2', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/IntegerTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.1.2', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/LongTransform.java', 'OPENMEETINGS-1720', '220e729a0a702801d7d63cc3067f081d562223f3')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/RoomSidebar.java', 'OPENMEETINGS-1726', '20ceddfe560a37c3f37d52ace88b9b157498c176')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/converter/RecordingConverter.java', 'OPENMEETINGS-1726', '20ceddfe560a37c3f37d52ace88b9b157498c176')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/AbstractWbPanel.java', 'OPENMEETINGS-1726', '20ceddfe560a37c3f37d52ace88b9b157498c176')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.java', 'OPENMEETINGS-1726', '20ceddfe560a37c3f37d52ace88b9b157498c176')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/converter/RecordingConverter.java', 'OPENMEETINGS-1726', '20ceddfe560a37c3f37d52ace88b9b157498c176')
('3.3.0', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/converter/RecordingConverter.java', 'OPENMEETINGS-1726', '20ceddfe560a37c3f37d52ace88b9b157498c176')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/installation/ImportInitvalues.java', 'OPENMEETINGS-1727', '0ee55c9837b1005a9aa9228f449f5b97c3350b90')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dto/user/OAuthUser.java', 'OPENMEETINGS-1727', '42512905aa773f28604317add56361fb9b5620ac')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/installation/ImportInitvalues.java', 'OPENMEETINGS-1727', '42512905aa773f28604317add56361fb9b5620ac')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/user/IUserManager.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/MobileService.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.2RC1', 'openmeetings-service/src/main/java/org/apache/openmeetings/service/user/UserManager.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/user/IUserManager.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.1RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.1RC1', 'openmeetings-service/src/main/java/org/apache/openmeetings/service/user/UserManager.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.0', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java', 'OPENMEETINGS-1727', '737df6e873aac5f4968f280e29502df9b6a5c37e')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java', 'OPENMEETINGS-1727', '49e95402b5fd0279a80086b436166662a267ab43')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application.java', 'OPENMEETINGS-1727', '49e95402b5fd0279a80086b436166662a267ab43')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/installation/ImportInitvalues.java', 'OPENMEETINGS-1727', '49e95402b5fd0279a80086b436166662a267ab43')
('3.3.1RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java', 'OPENMEETINGS-1727', '49e95402b5fd0279a80086b436166662a267ab43')
('3.3.0', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java', 'OPENMEETINGS-1727', '49e95402b5fd0279a80086b436166662a267ab43')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1724', '8ff6b15c4bd1338c6dc463e941a909612f6f7d06')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1724', '8ff6b15c4bd1338c6dc463e941a909612f6f7d06')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/Core.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/IScreenShare.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/CaptureScreen.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.1RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/Core.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.1RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/IScreenShare.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.1RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/CaptureScreen.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.0', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/Core.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.0', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/IScreenShare.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.0', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/CaptureScreen.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.2.1RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/IScreenShare.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.2.0RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/IScreenShare.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.1.5RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/IScreenShare.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.1.4RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/IScreenShare.java', 'OPENMEETINGS-1724', '715c251272c6a2dda9de6d323b741ccb39074d25')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.java', 'OPENMEETINGS-1724', '26c75a4113736536c8039ffd9f9b4dc36803da95')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/service/RecordingService.java', 'OPENMEETINGS-1724', '26c75a4113736536c8039ffd9f9b4dc36803da95')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/rooms/RoomForm.java', 'OPENMEETINGS-1718', '67686134ba453294725ac2f8e4f698cd62ccf07e')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/room/RoomDao.java', 'OPENMEETINGS-1718', '67686134ba453294725ac2f8e4f698cd62ccf07e')
('3.3.2RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1718', '67686134ba453294725ac2f8e4f698cd62ccf07e')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/calendar/AppointmentDialog.java', 'OPENMEETINGS-1718', '67686134ba453294725ac2f8e4f698cd62ccf07e')
('3.3.1RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/rooms/RoomForm.java', 'OPENMEETINGS-1718', '67686134ba453294725ac2f8e4f698cd62ccf07e')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/room/RoomDao.java', 'OPENMEETINGS-1718', '67686134ba453294725ac2f8e4f698cd62ccf07e')
('3.3.1RC1', 'openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java', 'OPENMEETINGS-1718', '67686134ba453294725ac2f8e4f698cd62ccf07e')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/activities/ActivitiesPanel.java', 'OPENMEETINGS-1719', '687415930cc6c81dbda3deef848f19b67168f7c1')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/RoomClientPanel.java', 'OPENMEETINGS-1719', '687415930cc6c81dbda3deef848f19b67168f7c1')
('3.3.1RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/activities/ActivitiesPanel.java', 'OPENMEETINGS-1719', '687415930cc6c81dbda3deef848f19b67168f7c1')
('3.3.1RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/RoomClientPanel.java', 'OPENMEETINGS-1719', '687415930cc6c81dbda3deef848f19b67168f7c1')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/icon/ClientIcon.java', 'OPENMEETINGS-1719', 'fba7dcdbfdf903f6a77654d9b63b1e21f2e7f1db')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/icon/RefreshIcon.java', 'OPENMEETINGS-1719', 'fba7dcdbfdf903f6a77654d9b63b1e21f2e7f1db')
('3.3.1RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/icon/ClientIcon.java', 'OPENMEETINGS-1719', 'fba7dcdbfdf903f6a77654d9b63b1e21f2e7f1db')
('3.3.1RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/icon/RefreshIcon.java', 'OPENMEETINGS-1719', 'fba7dcdbfdf903f6a77654d9b63b1e21f2e7f1db')
('4.0.6RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/UserManager.java', 'OPENMEETINGS-1957', 'cc63ec8a8ff2b44acd21e9b999a16eb37eba1ab2')
('4.0.6RC1', 'openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/RoomWebService.java', 'OPENMEETINGS-1957', 'cc63ec8a8ff2b44acd21e9b999a16eb37eba1ab2')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/RecordingService.java', 'OPENMEETINGS-1715', '58cf1917ed21b17fc05d8692efd754c97fe277e4')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1715', '58cf1917ed21b17fc05d8692efd754c97fe277e4')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/RecordingService.java', 'OPENMEETINGS-1715', '58cf1917ed21b17fc05d8692efd754c97fe277e4')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1715', '58cf1917ed21b17fc05d8692efd754c97fe277e4')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application.java', 'OPENMEETINGS-1715', '18b239bc2238aa88187b8f34a63a735ecc19ffaf')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1715', '18b239bc2238aa88187b8f34a63a735ecc19ffaf')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1715', '18b239bc2238aa88187b8f34a63a735ecc19ffaf')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/entity/room/StreamClient.java', 'OPENMEETINGS-1715', 'ce85e43d1c45b95ea94425d28c37abcb6a1aa464')
('3.3.2RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/IApplication.java', 'OPENMEETINGS-1715', 'ce85e43d1c45b95ea94425d28c37abcb6a1aa464')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/MainPanel.java', 'OPENMEETINGS-1715', 'ce85e43d1c45b95ea94425d28c37abcb6a1aa464')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1715', 'ce85e43d1c45b95ea94425d28c37abcb6a1aa464')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/entity/room/StreamClient.java', 'OPENMEETINGS-1715', 'ce85e43d1c45b95ea94425d28c37abcb6a1aa464')
('3.3.1RC1', 'openmeetings-db/src/main/java/org/apache/openmeetings/IApplication.java', 'OPENMEETINGS-1715', 'ce85e43d1c45b95ea94425d28c37abcb6a1aa464')
('3.3.1RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1715', 'ce85e43d1c45b95ea94425d28c37abcb6a1aa464')
('3.3.2RC1', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/menu/RoomMenuPanel.java', 'OPENMEETINGS-1715', '2e4f591fce79b18276fd00f78cb3f08a45e89e23')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/RTMPScreenShare.java', 'OPENMEETINGS-1715', '2e4f591fce79b18276fd00f78cb3f08a45e89e23')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/RTMPTScreenShare.java', 'OPENMEETINGS-1715', '2e4f591fce79b18276fd00f78cb3f08a45e89e23')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/RTMPTSScreenShare.java', 'OPENMEETINGS-1715', '2e4f591fce79b18276fd00f78cb3f08a45e89e23')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/gui/ScreenSharerFrame.java', 'OPENMEETINGS-1715', '2e4f591fce79b18276fd00f78cb3f08a45e89e23')
('3.3.2RC1', 'openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/ScopeApplicationAdapter.java', 'OPENMEETINGS-1715', '2e4f591fce79b18276fd00f78cb3f08a45e89e23')
('3.3.2RC1', 'openmeetings-screenshare/src/main/java/org/apache/openmeetings/screenshare/Core.java', 'OPENMEETINGS-1715', '2e4f591fce79b18276fd00f78cb3f08a45e89e23')
