('karaf-4.2.2', 'shell/ssh/src/main/java/org/apache/karaf/shell/ssh/ShellFactoryImpl.java', 'KARAF-6112', '9551dc2842f2467b965a6710a0c1ae223b3ccad3')
('karaf-4.2.0.M2', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0.M2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzJobExecutor.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.4', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.4', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0.M1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0.M1', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.0.M1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/QuartzJobExecutor.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.3', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.3', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.10', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.10', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.9', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.9', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.1.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.8', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.8', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.7', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.7', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.6', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.6', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.5', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.5', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.4', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.4', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.3', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.3', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.2', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.1', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0.M3', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0.M3', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0.M2', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0.M2', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0.M1', 'scheduler/src/main/java/org/apache/karaf/scheduler/core/InternalScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.0.0.M1', 'scheduler/src/main/java/org/apache/karaf/scheduler/ScheduleOptions.java', 'KARAF-6123', '7775f336c8a392d508a025786c7bfb536de67839')
('karaf-4.2.2', 'instance/src/main/java/org/apache/karaf/instance/core/internal/InstanceServiceImpl.java', 'KARAF-6124', '7f762f27480450ba0e1e2da1abe74ba0117bf6f1')
('karaf-4.2.2', 'audit/src/main/java/org/apache/karaf/audit/Activator.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.2', 'audit/src/main/java/org/apache/karaf/audit/logger/FileEventLogger.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.2', 'audit/src/main/java/org/apache/karaf/audit/util/FastDateFormat.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.1', 'audit/src/main/java/org/apache/karaf/audit/Activator.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.1', 'audit/src/main/java/org/apache/karaf/audit/logger/FileEventLogger.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.1', 'audit/src/main/java/org/apache/karaf/audit/util/FastDateFormat.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.0', 'audit/src/main/java/org/apache/karaf/audit/Activator.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.0', 'audit/src/main/java/org/apache/karaf/audit/logger/FileEventLogger.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.0', 'audit/src/main/java/org/apache/karaf/audit/util/FastDateFormat.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.0.M2', 'audit/src/main/java/org/apache/karaf/audit/Activator.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.0.M2', 'audit/src/main/java/org/apache/karaf/audit/logger/FileEventLogger.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.2.0.M2', 'audit/src/main/java/org/apache/karaf/audit/util/FastDateFormat.java', 'KARAF-6125', 'f53e3e636a9bc026d0c1b54dd93e5431bb9f3c1d')
('karaf-4.0.9', 'shell/core/src/main/java/org/apache/karaf/shell/impl/console/ConsoleSessionImpl.java', 'KARAF-5247', '0f2b18176d551619e846282e3faaed6f646b7e51')
('karaf-4.0.8', 'shell/core/src/main/java/org/apache/karaf/shell/impl/console/ConsoleSessionImpl.java', 'KARAF-5247', '0f2b18176d551619e846282e3faaed6f646b7e51')
('karaf-4.0.7', 'shell/core/src/main/java/org/apache/karaf/shell/impl/console/ConsoleSessionImpl.java', 'KARAF-5247', '0f2b18176d551619e846282e3faaed6f646b7e51')
('karaf-4.0.6', 'shell/core/src/main/java/org/apache/karaf/shell/impl/console/ConsoleSessionImpl.java', 'KARAF-5247', '0f2b18176d551619e846282e3faaed6f646b7e51')
('karaf-2.3.5', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/JaasCommandSupport.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.5', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ManageRealmCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.5', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ListRealmsCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.4', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/JaasCommandSupport.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.4', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ManageRealmCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.4', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ListRealmsCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.3', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/JaasCommandSupport.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.3', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ManageRealmCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.3', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ListRealmsCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.2', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/JaasCommandSupport.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.2', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ManageRealmCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.2', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ListRealmsCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.1', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/JaasCommandSupport.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.1', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ListRealmsCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.0', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/JaasCommandSupport.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.0', 'jaas/command/src/main/java/org/apache/karaf/jaas/command/ListRealmsCommand.java', 'KARAF-3061', '9844397f2d124e3def2e8a1232eee8c1dcba1afb')
('karaf-2.3.8', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.7', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.6', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.5', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.4', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.3', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.2', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.2.11', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.1', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.2.10', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
('karaf-2.3.0', 'shell/console/src/main/java/org/apache/karaf/shell/console/completer/CommandsCompleter.java', 'KARAF-3055', '100ab566b11b1ad2fc205e247a68715fdf05452b')
