('2.3.0', 'modules/core/src/main/java/org/apache/ignite/internal/visor/util/VisorTaskUtils.java', 'IGNITE-6995', '47e7daf7323ee49be53efb363f447d574bc7e222')
('1.4.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/task/GridTaskProcessor.java', 'IGNITE-3015', '00f8d654cd9ce0099020b2888831b6351b2763ca')
('2.5.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/file/FilePageStore.java', 'IGNITE-8707', 'ceade87e7ec3567317cc9ff62043b4655a040175')
('2.5.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/file/FilePageStore.java', 'IGNITE-8706', '0dc8b4baf6aec3acd4f0e89198b180246abccb48')
('2.5.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceProcessor.java', 'IGNITE-8712', '5e37dde5e505ef3f4449e941ed4125a30e9d0057')
('2.5.0', 'modules/hadoop/src/main/java/org/apache/ignite/internal/processors/hadoop/jobtracker/HadoopJobTracker.java', 'IGNITE-8712', '5e37dde5e505ef3f4449e941ed4125a30e9d0057')
('2.5.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/datastructures/DataStructuresProcessor.java', 'IGNITE-8712', '5e37dde5e505ef3f4449e941ed4125a30e9d0057')
('2.5.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/datastructures/CacheDataStructuresManager.java', 'IGNITE-8712', '5e37dde5e505ef3f4449e941ed4125a30e9d0057')
('1.9.0', 'modules/core/src/main/java/org/apache/ignite/internal/binary/builder/BinaryObjectBuilderImpl.java', 'IGNITE-4354', '5c48260f3d79bafd72af87e19077f150831d07e9')
('2.0.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtPartitionTopologyImpl.java', 'IGNITE-5684', '4f3b69c7018913618e7bbc724ab83ac6c274bc1f')
('2.0.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionFullMap.java', 'IGNITE-5684', '4f3b69c7018913618e7bbc724ab83ac6c274bc1f')
('2.0.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridClientPartitionTopology.java', 'IGNITE-5684', '4f3b69c7018913618e7bbc724ab83ac6c274bc1f')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceProcessor.java', 'IGNITE-3024', '718cf78b626d45e29f02e0ba8e50ecc1d0f27676')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceProxy.java', 'IGNITE-3024', '718cf78b626d45e29f02e0ba8e50ecc1d0f27676')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceNotFoundException.java', 'IGNITE-3024', '718cf78b626d45e29f02e0ba8e50ecc1d0f27676')
('1.5.0.final', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/ServiceContextImpl.java', 'IGNITE-3024', '718cf78b626d45e29f02e0ba8e50ecc1d0f27676')
('1.4.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceProxy.java', 'IGNITE-3024', '718cf78b626d45e29f02e0ba8e50ecc1d0f27676')
('1.4.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/GridServiceNotFoundException.java', 'IGNITE-3024', '718cf78b626d45e29f02e0ba8e50ecc1d0f27676')
('1.4.0', 'modules/core/src/main/java/org/apache/ignite/internal/processors/service/ServiceContextImpl.java', 'IGNITE-3024', '718cf78b626d45e29f02e0ba8e50ecc1d0f27676')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/GridJobSiblingsResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtTxPrepareResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearTxPrepareResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/spi/collision/jobstealing/JobStealingRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/clock/GridClockDeltaVersion.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsSingleMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/direct/DirectMessageReader.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/GridTaskSessionRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionSupplyMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsCommunicationMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheObjectAdapter.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheEvictionRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsSyncMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/IgniteTxKey.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntryPredicateAdapter.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/GridTaskCancelRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearGetRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheObjectByteArrayImpl.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsAckMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedLockResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtForceKeysResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/util/nio/GridDirectParser.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/plugin/extensions/communication/MessageReader.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicDeferredUpdateResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/query/h2/twostep/messages/GridQueryCancelRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsFragmentizerRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedLockRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/affinity/AffinityTopologyVersion.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/IgniteTxEntry.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearLockRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtForceKeysRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearTxFinishResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/direct/DirectByteBufferStream.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoUserMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsAbstractMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtUnlockRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/GridJobExecuteResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/transactions/TxEntryValueHolder.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/CacheVersionedValue.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridCacheTxRecoveryRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedTxFinishResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/managers/communication/GridIoMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearTxPrepareRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheEntryInfo.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/datastreamer/DataStreamerEntry.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/rest/handlers/task/GridTaskResultResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheQueryResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionDemandMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/near/GridNearUnlockRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/GridDhtAffinityAssignmentRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/managers/checkpoint/GridCheckpointRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/version/GridCacheVersionEx.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/clock/GridClockDeltaSnapshotMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/util/GridByteArrayList.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsDeleteMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridNearAtomicUpdateRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheEvictionResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/GridJobExecuteRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/igfs/IgfsFragmentizerResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/continuous/CacheContinuousQueryEntry.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/preloader/GridDhtPartitionsFullMessage.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/dht/atomic/GridDhtAtomicUpdateResponse.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/query/GridCacheSqlQuery.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEntryInfoCollection.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheEvictionEntry.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/version/GridCacheVersion.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/managers/deployment/GridDeploymentRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
('1.1.4', 'modules/core/src/main/java/org/apache/ignite/internal/processors/cache/distributed/GridDistributedUnlockRequest.java', 'IGNITE-1281', '89e94b6308ee0b4c47e8d72417e238f8eb4a59a2')
